ID,Product,Category,Subcategory,Image_URL,Price,Description
1,Postinor *2 Tabs,Sexual Health,Contraceptives,https://images.deliveryhero.io/image/menus-glovo/products/4be3c1ff222112ab9eb493695186cc221246b72d0fe39cf2456c47cd139697a7?t=W3siYXV0byI6eyJxIjoibG93In19LHsicmVzaXplIjp7IndpZHRoIjo2MDB9fV0=,"#1,300.00",Stops your ovaries from releasing an egg; preventing sperm from fertilising any egg you may have already released. Postinor-1 can only prevent you from becoming pregnant if you take it within 72 hours of unprotected sex
2,Dkt Postpill 1.5Mg * 1 Tabs,Sexual Health,Contraceptives,https://images.deliveryhero.io/image/menus-glovo/products/18d27d06e0c0bdb032cc238598b05d0f3f1be8d90a9cec765fedd9f391b079d2?t=W3siYXV0byI6eyJxIjoibG93In19LHsicmVzaXplIjp7IndpZHRoIjo2MDB9fV0=,"#1,050.00",Morning after pills that stops the fertilization of eggs
3,Ellaone 30Mg *1Tab,Sexual Health,Contraceptives,https://cdn.webshopapp.com/shops/148488/files/364557064/ellaone-30-mg-film-coated-tablet-1-pc.jpg,"#52,500.00",It is available as tablets (30 mg). What is ellaOne used for? EllaOne is a female emergency contraceptive to be taken within 120 hours (five days) of unprotected sex or contraceptive failure (such as a tear in a condom during sex).
4,Durex Extra Safe * 3 Condoms,Sexual Health,Contraceptives,https://images.deliveryhero.io/image/menus-glovo/products/2e5f59e371d815cf4957d8f75760708b5b6418a159491dfface07590c9ec72bd?t=W3siYXV0byI6eyJxIjoibG93In19LHsicmVzaXplIjp7IndpZHRoIjo2MDB9fV0=,"#2,300.00","contains special climax-control lubricant, benzocaine, that helps him last longer while providing the same level of reassurance and protection as a regular condom."
5,Durex Thin Feel * 6 Condoms,Sexual Health,Contraceptives,https://images.deliveryhero.io/image/menus-glovo/products/47a1da25d088b25a63382031391e5fe5f45506e2db1c30adab1c90772007739c?t=W3siYXV0byI6eyJxIjoibG93In19LHsicmVzaXplIjp7IndpZHRoIjo2MDB9fV0=,"#9,000.00","contains special climax-control lubricant, benzocaine, that helps him last longer while providing the same level of reassurance and protection as a regular condom."
6,Durex Extra Safe * 12 Condom(Local),Sexual Health,Contraceptives,https://images.deliveryhero.io/image/menus-glovo/products/e3690478dc2a68fab1b75f5ec1635d1b02022bdc0f53fbebab4a536dd5ad00eb?t=W3siYXV0byI6eyJxIjoibG93In19LHsicmVzaXplIjp7IndpZHRoIjo2MDB9fV0=,"#7,750.00","contains special climax-control lubricant, benzocaine, that helps him last longer while providing the same level of reassurance and protection as a regular condom."
7,Durex Performa * 3,Sexual Health,Contraceptives,https://i.postimg.cc/mrDx9gc8/durex-performa-3.webp,"#3,250.00","contains special climax-control lubricant, benzocaine, that helps him last longer while providing the same level of reassurance and protection as a regular condom."
8,Durex Pleasure Me *6Condoms,Sexual Health,Contraceptives,https://i.postimg.cc/50JZ6SGc/durex-pleasure-me-regular-fit-6.jpg,"#9,000.00","contains special climax-control lubricant, benzocaine, that helps him last longer while providing the same level of reassurance and protection as a regular condom."
9,Trojan Magnum *3,Sexual Health,Contraceptives,https://images.deliveryhero.io/image/menus-glovo/products/e4b02e9595546e0f05dfe1d31e0891e074d827e36da843403c298d8d2599f9b3?t=W3siYXV0byI6eyJxIjoibG93In19LHsicmVzaXplIjp7IndpZHRoIjo2MDB9fV0=,"#4,200.00","contains special climax-control lubricant, benzocaine, that helps him last longer while providing the same level of reassurance and protection as a regular condom."
10,Vigor Chocolate For Men,Sexual Enhancement,Sexual Enhancement,https://i.postimg.cc/MGTrBCjw/vigor-chocolate-for-men.jpg,"#2,400.00",Vigor Chocolate for men is a phenomenal chocolate bar made out of 100% plant base natural ingredients. Specially formulated to enhance your sexual drive and pleasure.
11,Force Factor Alpha King Immortal * *180 Ca,Sexual Enhancement,Sexual Enhancement,https://i.postimg.cc/76NGyWmC/force-factor-alpha-king-immortal-180.jpg,"#186,000.00","Force Factor Alpha King Immortal total masculine hormone support, boost testosterone and reduce estrogen, improve strength, muscle, and force, enhance performance. It contains 180 Capsules."
12,Stud 100 Spray,Sexual Enhancement,Sexual Enhancement,https://i.postimg.cc/7hGFzfbS/STUD-100-SPRAY-Photo-Room-png-Photo-Room.png,"#10,200.00","Stud 100 contains an active ingredient 'lidocaine'. Lidocaine is a local anaesthetic and when applied to the penis before sex, it allows a men to keep going for longer by reducing how sensitive he is to touch and skin to skin contact"
13,Procomil Spray 15Ml,Sexual Enhancement,Sexual Enhancement,https://i.postimg.cc/0ynKFQ2Y/PROCOMIL-SPRAY-15-ML-Photo-Room-png-Photo-Room.png,"#9,600.00",Procomil desensitizes the penis and increases sexual stamina when sprayed to the head and works within 5 minutes of being sprayed.
14,Samsu Oil,Sexual Enhancement,Sexual Enhancement,https://images.deliveryhero.io/image/menus-glovo/products/ff42e1cfa72c95bfb9641e85c80c1a7f209c60bd7ce766b9a552033289c10ab7?t=W3siYXV0byI6eyJxIjoibG93In19LHsicmVzaXplIjp7IndpZHRoIjo2MDB9fV0=,"#2,650.00",Samsu Oil is a topical natural medication for men. It serves to reduce the level of sensitivity of the nerves of the penis so as to overcome the problem.
15,Naturals Power Plus,Sexual Enhancement,Sexual Enhancement,https://i.postimg.cc/PqPS6GYm/natural-power-plus-straight-Photo-Room-png-Photo-Room.png,"#8,250.00","Power Plus is made from all natural herbs, with the combination of Korean ginseng, maca, honey and liriosma ovata and it is used to improve sexual stamina and bedroom confidence"
16,Libido-Max Softgel * 75,Sexual Enhancement,Sexual Enhancement,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/06/6286852/1.jpg?6508,"#25,000.00","Power Plus is made from all natural herbs, with the combination of Korean ginseng, maca, honey and liriosma ovata and it is used to improve sexual stamina and bedroom confidence"
17,Libido-Max Softgel * 30,Sexual Enhancement,Sexual Enhancement,https://www.polskaapteczka.com/cdn/shop/products/libido-max-30_b3ef7e87-4667-4ae5-b33a-9eeb197b8fba.jpg?v=1666216371,"#15,500.00","Power Plus is made from all natural herbs, with the combination of Korean ginseng, maca, honey and liriosma ovata and it is used to improve sexual stamina and bedroom confidence"
18,Honnihil (Tadalafil) 20Mg * 4 Tabs,Sexual Enhancement,Sexual Enhancement,https://i.postimg.cc/k4w8hFCn/honnihil-4tab.jpg,"#2,400.00",helps to maintain an erection after the penis is stroked by increasing blood flow to the penis.
19,Tadalis 20Mg * 4 Tabs,Sexual Enhancement,Sexual Enhancement,https://images.deliveryhero.io/image/menus-glovo/products/d377b1d7da63542d5aef24afd3e7a1aa95aa5898f8b739d3b89283bb7d2af486?t=W3siYXV0byI6eyJxIjoibG93In19LHsicmVzaXplIjp7IndpZHRoIjo2MDB9fV0=,"#3,550.00","used to treat erectile dysfunction and pulmonary arterial hypertension. It works by relaxing the muscles in the lungs and widening the blood vessels, which allows more blood to flow through them."
20,Tadalis 10Mg * 4 Tabs,Sexual Enhancement,Sexual Enhancement,https://i.postimg.cc/Dy46mHFL/Tadalis-10-Mg-4-Tabs-Photo-Room-png-Photo-Room.png,"#1,800.00","used to treat erectile dysfunction and pulmonary arterial hypertension. It works by relaxing the muscles in the lungs and widening the blood vessels, which allows more blood to flow through them."
21,Clearblue Pregnancy Test *1 Tests,Test Kits,Test Kits,https://ca-en.clearblue.com/sites/default/files/wysiwyg/products/packshots/00751774801002C1R1_CA-EN.jpg,"#28,500.00",One stick of pregnancy test stick
22,Dr Greg'S Pregnancy Test Kit *1,Test Kits,Test Kits,https://i.postimg.cc/VvJFLt5P/dr-greg-s-pregnancy-test-srip.jpg,"#3,050.00",One pregnancy test strip
23,Predicte Pregnancy * 2 Tests,Test Kits,Test Kits,https://i.postimg.cc/t4kDkpKf/predicte-pregnancy-test.jpg,"#1,000.00",pregnancy test stripe
24,Dr. Greg'S Ovulation Test Stripe,Test Kits,Test Kits,https://i.postimg.cc/43yV7pP6/dr-greg-ovulation-kit-medplus-Photo-Room-png-Photo-Room.png,"#5,800.00",This is an ovulation predictor test kit. It is a home test that checks your urine to let you know when you're most likely to be fertile.
25,Health Check Malaria Test Kit,Test Kits,Test Kits,https://images.deliveryhero.io/image/menus-glovo/products/d415b689da918a9709f0413472d83ce0fa934d2eeb9ab7724cae76ed47550434?t=W3siYXV0byI6eyJxIjoibG93In19LHsicmVzaXplIjp7IndpZHRoIjo2MDB9fV0=,"#1,950.00",A selt test kit for Malaria
26,Dr Greg'S Malaria Test Kit,Test Kits,Test Kits,https://i.postimg.cc/P5s09XF5/Dr-Greg-s-Malaria-TEST-Kit.jpg,"#3,250.00",A selt test kit for Malaria
27,Oraquick Hiv Self-Test,Test Kits,Test Kits,https://images.deliveryhero.io/image/menus-glovo/products/1f18b3a06a800c021c07185ed5f9a3adb0b93a3327e59e88bc39354794265a17?t=W3siYXV0byI6eyJxIjoibG93In19LHsicmVzaXplIjp7IndpZHRoIjo2MDB9fV0=,"#2,350.00",A selt test kit for Hiv
28,Health Check 3H Viral Check Test,Test Kits,Test Kits,https://i.postimg.cc/wv5Tn491/Health-check-3-H-viral-check-test.jpg,"#4,650.00",A selt test kit for Hiv
29,Dr Greg'S Typhoid Test Kit,Test Kits,Test Kits,https://i.postimg.cc/qvR3fdCc/dr-greg-typhoid-kit.jpg,"#5,700.00",A selt test kit for Hepatitis
30,Royal Princess Sanitary Pads* 8 (Long),Feminine Hygeine,Feminine Hygeine,https://i.postimg.cc/v8xhs6wf/ROYAL-PRINCESS-8-PADS-LONG-Photo-Room-png-Photo-Room.png,#600.00,Sanitary pad that is used for menstruation
31,Longrich Magnetic Energy Sanitary Pantyliners,Feminine Hygeine,Feminine Hygeine,https://i.postimg.cc/0Ntn8YNd/LONGRICH-MAGNETIC-ENERGY-PANTY-LINERS-30-Photo-Room-png-Photo-Room.png,"#3,000.00",Sanitary panty liner
32,Always Ultra Pads * 6 (Exra Long),Feminine Hygeine,Feminine Hygeine,https://i.postimg.cc/hjjmMNcV/ALWAYS-ULTRA-THIN-6-PADS-EXTRA-LONG-Photo-Room-png-Photo-Room.png,"#1,800.00",Sanitary pad that is used for menstruation
33,Tampax * 20 Tampons (Regular),Feminine Hygeine,Feminine Hygeine,https://i.postimg.cc/mgjNwY7f/TAMPAX-REGULAR-20-Photo-Room-png-Photo-Room.png,"#6,200.00","Tampons are absorbent materials used during the menstrual flow. It is inserted into the Vagina where it acts like a plug, absorbs the flow and prevents leakage."
34,Tampax Super * 20 Tampons,Feminine Hygeine,Feminine Hygeine,https://images.deliveryhero.io/image/menus-glovo/products/d7d0f140fed62af8fd611e7b0426383861300448753cb00d90553003ff0c901e?t=W3siYXV0byI6eyJxIjoibG93In19LHsicmVzaXplIjp7IndpZHRoIjo2MDB9fV0=,"#6,200.00","Tampons are absorbent materials used during the menstrual flow. It is inserted into the Vagina where it acts like a plug, absorbs the flow and prevents leakage."
35,Tampax Super Plus* 20 Tampons,Feminine Hygeine,Feminine Hygeine,https://images.deliveryhero.io/image/menus-glovo/products/5a85f2dd9dd6b53c0f8b1693f1f3925d1db1c73da99166b034fb743fd1d3238c?t=W3siYXV0byI6eyJxIjoibG93In19LHsicmVzaXplIjp7IndpZHRoIjo2MDB9fV0=,"#6,200.00","Tampons are absorbent materials used during the menstrual flow. It is inserted into the Vagina where it acts like a plug, absorbs the flow and prevents leakage."
36,Femfresh Ultimate Soothing Wash *250Ml,Feminine Hygeine,Feminine Hygeine,https://i.postimg.cc/tgRDQS94/FEMFRESH-ULTIMATE-SOOTHING-WASH-250-ML-Photo-Room-png-Photo-Room.png,"#5,100.00","Femfresh™ soothing wash for everyday use contains pre and probiotic complex, honeysuckle and cranberry extracts. Provides a mild and immediate feeling of comfort that allows your intimate area to feel hydrated and gives a long lasting 24 hours soothing sensation."
37,Femfresh Sensitive Intimate Wash *250Ml,Feminine Hygeine,Feminine Hygeine,https://i.postimg.cc/Hk93NDDN/FEMFRESH-SENSITIVE-INTIMATE-WASH-250-ML-Photo-Room-png-Photo-Room.png,"#5,100.00","The low pH of the intimate area helps to protect against irritation and this can be upset by ordinary washes and shower gels. Femfresh, with its pleasant fragrance and soothing extracts of aloe vera, provides long lasting freshness throughout the day."
38,Paracetamol * 8 Strips,Medications And Treatments,Pain Killers,https://images.deliveryhero.io/image/menus-glovo/products/c911b3abfa13bc23886e710a3ac05e3aaf71c85c05febf9fb79b4b77cb56ac9b?t=W3siYXV0byI6eyJxIjoibG93In19LHsicmVzaXplIjp7IndpZHRoIjo2MDB9fV0=,#200.00,"Analgesics that relieve mild to moderate pain and/or fever. It can be used to relieve headache, migraine, neuralgia, toothache, period pain, rheumatic aches and pains, sore throat and the symptoms of colds and flu."
39,Panadol Advance 500Mg *16 Tabs,Medications And Treatments,Pain Killers,https://images.deliveryhero.io/image/menus-glovo/products/366f353e16a6f6ee86dbb0b78c14982d435179bcdd7602c11159433f30394f7b?t=W3siYXV0byI6eyJxIjoibG93In19LHsicmVzaXplIjp7IndpZHRoIjo2MDB9fV0=,"#4,950.00","Analgesics that relieve mild to moderate pain and/or fever. It can be used to relieve headache, migraine, neuralgia, toothache, period pain, rheumatic aches and pains, sore throat and the symptoms of colds and flu."
40,Panadol Actifast * 14 Tabs,Medications And Treatments,Pain Killers,https://images.deliveryhero.io/image/menus-glovo/products/829bfeb3328f74554589b828ba60912fc38d64bc42cc2368173329940360998e?t=W3siYXV0byI6eyJxIjoibG93In19LHsicmVzaXplIjp7IndpZHRoIjo2MDB9fV0=,"#8,250.00","Analgesics that relieve mild to moderate pain and/or fever. It can be used to relieve headache, migraine, neuralgia, toothache, period pain, rheumatic aches and pains, sore throat and the symptoms of colds and flu."
41,Panadol Night * 24 Caplets,Medications And Treatments,Pain Killers,https://images.deliveryhero.io/image/menus-glovo/products/d33ea3adcbe2a548f39233b21a0a3ac05ac061d22753b6bbe10c658d269222ee?t=W3siYXV0byI6eyJxIjoibG93In19LHsicmVzaXplIjp7IndpZHRoIjo2MDB9fV0=,"#8,700.00","Analgesics that relieve mild to moderate pain and/or fever. It can be used to relieve headache, migraine, neuralgia, toothache, period pain, rheumatic aches and pains, sore throat and the symptoms of colds and flu."
42,Nurofen Oral Suspension (Orange) 100Mg,Medications And Treatments,Pain Killers,https://healthplusnigeria.com/cdn/shop/products/nurofen-for-children-_ibuprofen_-orange-syrup-100ml-1_pqlz1c_grande.jpg?v=1680833916,"#3,900.00","For the reduction of fever and the relief of the symptoms of colds and influenza and mild to moderate pain, such as a sore throat, dental pain, earache, headache, minor aches and sprains."
43,Pure Evening Primrose*90Caps,Medications And Treatments,"Cough, Cold And Flu",https://i.postimg.cc/KYztXJPp/pure-evening-primrose-oil-Photo-Room-png-Photo-Room.png,"#19,300.00","traditionally used it to treat conditions including bruises, hemorrhoids, and sore throats."
44,Lemsip Max ColdAndFlu* 10 Satchets (Lemon),Medications And Treatments,"Cough, Cold And Flu",https://i.postimg.cc/qRd06MkP/Lemsip-Max-Cold-Flu-Lemon-10-Photo-Room-png-Photo-Room.png,"#11,700.00","used to relieve the symptoms of colds and flu including runny nose, chesty coughs, watery eyes, nasal congestion and blocked sinuses"
45,Actifed Multi-Action * 12 Tabs,Medications And Treatments,"Cough, Cold And Flu",https://images.deliveryhero.io/image/menus-glovo/products/a658bc23967d98f0fd53fb532976dec217bd89b26914b985556b708203832a05?t=W3siYXV0byI6eyJxIjoibG93In19LHsicmVzaXplIjp7IndpZHRoIjo2MDB9fV0=,"#11,200.00","used to relieve the symptoms of colds and flu including runny nose, chesty coughs, watery eyes, nasal congestion"
46,Actifed Dry Cough 100Ml,Medications And Treatments,"Cough, Cold And Flu",https://images.deliveryhero.io/image/menus-glovo/products/d92f6b8b8a4060b5034dc0b6e6d8c8a7c48e3a4fcf257a3f063ea52d76b71d64?t=W3siYXV0byI6eyJxIjoibG93In19LHsicmVzaXplIjp7IndpZHRoIjo2MDB9fV0=,"#12,750.00","used to relieve the symptoms of colds and flu including runny nose, chesty coughs, watery eyes, nasal congestion"
47,Actifed Cold * 12 Tabs,Medications And Treatments,"Cough, Cold And Flu",https://images.deliveryhero.io/image/menus-glovo/products/391d3e6fb910c830c5229d7777ab20ed64caa1a36c702078564c54afe10f422f?t=W3siYXV0byI6eyJxIjoibG93In19LHsicmVzaXplIjp7IndpZHRoIjo2MDB9fV0=,"#1,750.00","used to relieve the symptoms of colds and flu including runny nose, chesty coughs, watery eyes, nasal congestion"
48,Beechams Powder *10 Sachets,Medications And Treatments,"Cough, Cold And Flu",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ3bKi5MXRmRE6ipbjv09Tl0RuOMPtcJyFshQAndusqp=CAU,"#4,850.00","used to relieve the symptoms of colds and flu including runny nose, chesty coughs, watery eyes, nasal congestion"
49,Flucorday Non-Drowsy *8 Liq Gels,Medications And Treatments,"Cough, Cold And Flu",https://images.deliveryhero.io/image/menus-glovo/products/9b676fea2c7a5799dacc712398c90f4b34caabc5e7c30f9be3f311b08cf2ad4e?t=W3siYXV0byI6eyJxIjoibG93In19LHsicmVzaXplIjp7IndpZHRoIjo2MDB9fV0=,#140.00,"used to relieve the symptoms of colds and flu including runny nose, chesty coughs, watery eyes, nasal congestion"
50,Panadol Cold And Flu * 24 Caplets,Medications And Treatments,"Cough, Cold And Flu",https://images.deliveryhero.io/image/menus-glovo/products/285546ad1e3acf3424901949efc425debcb3eabafd123bef5603a5a63e4534df?t=W3siYXV0byI6eyJxIjoibG93In19LHsicmVzaXplIjp7IndpZHRoIjo2MDB9fV0=,"#10,550.00","used to relieve the symptoms of colds and flu including runny nose, chesty coughs, watery eyes, nasal congestion"
51,Menthodex Cough Mixture 100Ml,Medications And Treatments,"Cough, Cold And Flu",https://images.deliveryhero.io/image/menus-glovo/products/4a8c23aed48a4e0881d9febca82b866d5c8c44079729f498f395e1b3e47cd17f?t=W3siYXV0byI6eyJxIjoibG93In19LHsicmVzaXplIjp7IndpZHRoIjo2MDB9fV0=,"#3,000.00","used to relieve the symptoms of colds and flu including runny nose, chesty coughs, watery eyes, nasal congestion"
52,Benylin Chesty Coughs Non Drowsy 150Ml,Medications And Treatments,"Cough, Cold And Flu",https://images.deliveryhero.io/image/menus-glovo/products/b3230e50c31c1f14e76e093874c150a6da0f4f9f07b32e77b4ae2a8c1b06809e?t=W3siYXV0byI6eyJxIjoibG93In19LHsicmVzaXplIjp7IndpZHRoIjo2MDB9fV0=,"#14,000.00","used to relieve the symptoms of colds and flu including runny nose, chesty coughs, watery eyes, nasal congestion"
53,Vicks Inhaler (Uk),Medications And Treatments,"Cough, Cold And Flu",https://images.deliveryhero.io/image/menus-glovo/products/eb8beb8f24dedc7c49c3e7584f206024b691d320752cee49fc91cbed7ebb3301?t=W3siYXV0byI6eyJxIjoibG93In19LHsicmVzaXplIjp7IndpZHRoIjo2MDB9fV0=,"#4,500.00",used to relieve nasal congestion
54,Rhina Phyto Herbal Liquid 100Ml,Medications And Treatments,"Cough, Cold And Flu",https://i.postimg.cc/PJ9SbFrK/RHINA-PHYTO-HERBAL-LIQUID-100-ML.jpg,"#6,900.00","used to relieve the symptoms of colds and flu including runny nose, chesty coughs, watery eyes, nasal congestion"
55,Covonia Chesty Cough 180Ml,Medications And Treatments,"Cough, Cold And Flu",https://i.postimg.cc/RV2YwqW9/COVONIA-CHESTY-COUGH-180-ML.jpg,"#8,850.00","used to relieve the symptoms of colds and flu including runny nose, chesty coughs, watery eyes, nasal congestion"
56,Coflin Cough Linctus,Medications And Treatments,"Cough, Cold And Flu",https://images.deliveryhero.io/image/menus-glovo/products/7c2637dcd35dc2eb5f891c580586081a8cc44d0e4dee2b70475e7fbe875953a9?t=W3siYXV0byI6eyJxIjoibG93In19LHsicmVzaXplIjp7IndpZHRoIjo2MDB9fV0=,"#1,050.00","used to relieve the symptoms of colds and flu including runny nose, chesty coughs, watery eyes, nasal congestion"
57,Coflin Expectorant 100Ml,Medications And Treatments,"Cough, Cold And Flu",https://i.postimg.cc/cJS55j7b/Coflin-Expectorant-100-ML.jpg,#850.00,"used to relieve the symptoms of colds and flu including runny nose, chesty coughs, watery eyes, nasal congestion"
58,Lemsip Max Cold And Flu *16Caps,Medications And Treatments,"Cough, Cold And Flu",https://i.postimg.cc/2S40vGpF/Lemsip-Max-Cold-Flu-by-16tabs-removebg-preview.png,"#9,550.00","used to relieve the symptoms of colds and flu including runny nose, chesty coughs, watery eyes, nasal congestion"
59,Shaltoux 4 Way Relief Syrup 100Ml,Medications And Treatments,"Cough, Cold And Flu",https://images.deliveryhero.io/image/menus-glovo/products/71e5cf8890af43c1d0a7ee14ef38daff63f46f060da19faff9fa73b34e027517?t=W3siYXV0byI6eyJxIjoibG93In19LHsicmVzaXplIjp7IndpZHRoIjo2MDB9fV0=,#90.00,"used to relieve the symptoms of colds and flu including runny nose, chesty coughs, watery eyes, nasal congestion"
60,Shaltoux Chesty Cough 100Ml,Medications And Treatments,"Cough, Cold And Flu",https://i.postimg.cc/rFRnycQH/SHALTOUX-CHESTY-COUGH-100-ML.jpg,#850.00,"used to relieve the symptoms of colds and flu including runny nose, chesty coughs, watery eyes, nasal congestion"
61,Emzor Emzolyn 4Way Syrup 100Ml,Medications And Treatments,"Cough, Cold And Flu",https://images.deliveryhero.io/image/menus-glovo/products/2801204b7f19e13df6151e5ffd2044afcede6b2685f0d8040fb224ea30be5ac2?t=W3siYXV0byI6eyJxIjoibG93In19LHsicmVzaXplIjp7IndpZHRoIjo2MDB9fV0=,#850.00,"used to relieve the symptoms of colds and flu including runny nose, chesty coughs, watery eyes, nasal congestion"
62,Procold 4 Flu * 50 Strips,Medications And Treatments,"Cough, Cold And Flu",https://images.deliveryhero.io/image/menus-glovo/products/26fe87f54facd821bcbf5b2a352fe3c868c705f629b4c2df30528a8a0e322da0?t=W3siYXV0byI6eyJxIjoibG93In19LHsicmVzaXplIjp7IndpZHRoIjo2MDB9fV0=,#300.00,"used to relieve the symptoms of colds and flu including runny nose, chesty coughs, watery eyes, nasal congestion"
63,Aboniki Balm *25G,Medications And Treatments,"Cough, Cold And Flu",https://i.postimg.cc/CMPXLcYR/aboniki-balm.jpg,#550.00,"used to relieve the symptoms of colds and flu including runny nose, chesty coughs, watery eyes, nasal congestion"
64,Otrivine Blocked Nose Nasal Spray,Medications And Treatments,"Cough, Cold And Flu",https://i.postimg.cc/Kj3Yq25Q/otrivine-blocked-nose-nasal-spray.jpg,"#8,700.00",clears a blocked nose by reducing nasal mucus and shrinking swollen blood vessels so you can breathe easier.
65,Olbas Oil Inhalant 12Ml,Medications And Treatments,"Cough, Cold And Flu",https://i.postimg.cc/Ls7kbQ11/Olbas-Oil-Inhalant-12-Ml.jpg,"#8,700.00",clears a blocked nose by reducing nasal mucus and shrinking swollen blood vessels so you can breathe easier.
66,Olbas Oil Inhalant 30Ml,Medications And Treatments,"Cough, Cold And Flu",https://i.postimg.cc/KYjqSfMN/Olbas-Oil-Inhalant-30-Ml.jpg,"#12,750.00",clears a blocked nose by reducing nasal mucus and shrinking swollen blood vessels so you can breathe easier.
67,Olbas Oil For Children 10Ml,Medications And Treatments,"Cough, Cold And Flu",https://i.postimg.cc/90QzJDSr/Olbas-Oil-For-Children-10-Ml.jpg,"#7,100.00",clears a blocked nose by reducing nasal mucus and shrinking swollen blood vessels so you can breathe easier.
68,Covonia Vapour Drops,Medications And Treatments,"Cough, Cold And Flu",https://i.postimg.cc/RFFzYwS5/Covonia-Vapour-Drops-15-Ml.png,"#5,800.00","used to relieve the symptoms of colds and flu including runny nose, chesty coughs, watery eyes, nasal congestion"
69,Benadryl Allergy Natural Nasal Spray,Medications And Treatments,"Cough, Cold And Flu",https://i.postimg.cc/Jn4BdYHr/Benadryl-Allergy-Natural-Nasal-Spray.jpg,"#7,900.00","used to relieve the symptoms of colds and flu including runny nose, chesty coughs, watery eyes, nasal congestion"
70,Calpol Saline Nasal Drop 10Ml,Medications And Treatments,"Cough, Cold And Flu",https://i.postimg.cc/prMyM0p5/calpol-nasal-nasal-10ml.jpg,"#8,550.00","used to relieve the symptoms of colds and flu including runny nose, chesty coughs, watery eyes, nasal congestion"
71,Calpol Saline Nasal Spray 15Ml,Medications And Treatments,"Cough, Cold And Flu",https://i.postimg.cc/8PWBv3h9/Calpol-Saline-Nasal-Spray-15-Ml.jpg,"#10,800.00","used to relieve the symptoms of colds and flu including runny nose, chesty coughs, watery eyes, nasal congestion"
72,Sudafed Sinus Ease Nasal Spray 15Ml,Medications And Treatments,"Cough, Cold And Flu",https://i.postimg.cc/Kvvx3SSv/Sudafed-Sinus-Ease-Nasal-Spray-15-Ml.jpg,"#10,300.00","used to relieve the symptoms of colds and flu including runny nose, chesty coughs, watery eyes, nasal congestion"
73,Sudafed Sinus Pressure And Pain Max Strength Tablets X 12,Medications And Treatments,"Cough, Cold And Flu",https://cdn.shopify.com/s/files/1/0562/3853/8907/products/sudafed-sinus-pressure-pain-tablets-p9111-12054_image_c658ed0a-c177-4f3c-9026-12dfbfd112d5.jpg?v=1680837445Andwidth=600,"#10,300.00","- Helps relieve sinus pain, pressure, nasal congestion and headaches"
74,Vocalzone Throat Pastilles (Black Currant* 24 Tabs,Medications And Treatments,"Cough, Cold And Flu",https://i.postimg.cc/fTLQTcmV/Vocalzone-Throat-Pastilles-Blc-24-Tabs.jpg,"#8,200.00","used to relieve the symptoms of colds and flu including runny nose, chesty coughs, watery eyes, nasal congestion"
75,Vocalzone Throat Pastilles(Honey And Lemon,Medications And Treatments,"Cough, Cold And Flu",https://i.postimg.cc/Bb7y1zHX/Vocalzone-Throat-Pastilles-Honey-and-Lemon.jpg,"#8,800.00","used to relieve the symptoms of colds and flu including runny nose, chesty coughs, watery eyes, nasal congestion"
76,Ascomed Vitamin C *100,Medications And Treatments,"Cough, Cold And Flu",https://images.deliveryhero.io/image/menus-glovo/products/0b3999cfd8b809ae55f8916328fa3fbf742786cb6cca3d613ab3619a76717278?t=W3siYXV0byI6eyJxIjoibG93In19LHsicmVzaXplIjp7IndpZHRoIjo2MDB9fV0=,#700.00,"To help wounds heal, to enhance the absorption of iron from plant foods, and to support the immune system. It works as an antioxidant to protect your cells against free radicals, which may play a role in heart disease, cancer and other diseases"
77,Braggs Apple Cidear Vinegar 946Ml,Medications And Treatments,"Cough, Cold And Flu","https://www-konga-com-res.cloudinary.com/w_auto,f_auto,fl_lossy,dpr_auto,q_auto/media/catalog/product/X/C/167050_1590558846.jpg","#9,700.00",to boost your immune system and energy. Add a teaspoon of local raw honey to sooth a scratchy throat.
78,Braggs Apple Cidear Vinegar 473Ml,Medications And Treatments,"Cough, Cold And Flu","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/bra/bra00116/v/31.jpg","#6,900.00",to boost your immune system and energy. Add a teaspoon of local raw honey to sooth a scratchy throat.
