ID,Product,Category,Subcategory,Image_URL,Price
1,Durex Extra Safe * 12 Condom(Local),Male Sexual Health,Condoms,https://images.deliveryhero.io/image/menus-glovo/products/1d4bdffc15cec2278aa514690004f1b3238ea518ffefac1acff5c2419ec43dff?t=W3siYXV0byI6eyJxIjoibG93In19XQ==,"#9,050.00"
2,Durex Extra Safe * 3 Condoms,Male Sexual Health,Condoms,https://images.deliveryhero.io/image/menus-glovo/products/3e653f115167660e39dd49809c41630f840907c408ab306d935096c8f38a47dc?t=W3siYXV0byI6eyJxIjoibG93In19LHsicmVzaXplIjp7IndpZHRoIjoxNTAsImhlaWdodCI6MTUwfX1d,"#2,750.00"
3,Durex Fetherlite Elite * 3 Condoms,Male Sexual Health,Condoms,https://i.postimg.cc/FFyg2977/durex-fetherlite-elite-3.jpg,"#4,100.00"
4,DUREX PERFORMA* 3 CONDOMS,Male Sexual Health,Condoms,https://i.postimg.cc/mrDx9gc8/durex-performa-3.webp,"#4,100.00"
5,Durex Pleasure Me * 3 Condom,Male Sexual Health,Condoms,https://images.deliveryhero.io/image/menus-glovo/products/c290fbfd28152bec014bbf3c306f6d8a13118d1da5e20f37de33fb7fa57c24b5?t=W3siYXV0byI6eyJxIjoibG93In19XQ==,"#3,400.00"
6,Durex Select Fruity Flavour *3 Condoms,Male Sexual Health,Condoms,https://images.deliveryhero.io/image/menus-glovo/products/2e745db9e8c0ed4416df8189979034f164136a9a06bd21f0cac6924339f143a2?t=W3siYXV0byI6eyJxIjoibG93In19XQ==,"#2,750.00"
7,Durex Thin Feel  * 6 Condoms,Male Sexual Health,Condoms,https://images.deliveryhero.io/image/menus-glovo/products/47a1da25d088b25a63382031391e5fe5f45506e2db1c30adab1c90772007739c?t=W3siYXV0byI6eyJxIjoibG93In19XQ==,"#13,300.00"
8,Fiesta Chocolate Condoms * 3,Male Sexual Health,Condoms,https://i.postimg.cc/HxC7bFqG/fiesta-chocolate-3-condom.webp,#600.00
9,Fiesta Honey & Banana Condoms * 3,Male Sexual Health,Condoms,https://images.deliveryhero.io/image/menus-glovo/products/3a0efc8c2edfd6581a9df18d0f031589baeee181e3ba31946bc0e92e8b129331?t=W3siYXV0byI6eyJxIjoibG93In19XQ==,#600.00
10,Fiesta Strawberry Condoms * 3,Male Sexual Health,Condoms,https://images.deliveryhero.io/image/menus-glovo/products/908c8b31ea943608e06ae1f88703a9280e306711d91b8eb6d194c9d965438177?t=W3siYXV0byI6eyJxIjoibG93In19XQ==,#600.00
11,Fiesta Xl Condoms * 3,Male Sexual Health,Condoms,https://i.postimg.cc/bN26wsPM/fiesta-xl-3-condom.jpg,#600.00
12,Fire Condoms * 3 (Xtacy),Male Sexual Health,Condoms,https://i.postimg.cc/rsTJfx3c/fire-condom-x-3-xtacy.jpg,#650.00
13,Fire Condoms * 3 (Xtra),Male Sexual Health,Condoms,https://i.postimg.cc/T3Qn6Bsz/fire-condom-x-3-xtra.jpg,#650.00
14,Hot Rider *3 Condom (Hot Passion),Male Sexual Health,Condoms,https://images.deliveryhero.io/image/menus-glovo/products/e816f6c299e56d8c06671232858c56d7211fcce9b553b110ad971f6f7676f486?t=W3siYXV0byI6eyJxIjoibG93In19XQ==,"#4,000.00"
15,Lifestyles Condoms * 3 (Strawberry),Male Sexual Health,Condoms,https://sfhaccess.com/cdn/shop/files/LifestyleStrawberry.png?v=1688081585Andwidth=2200,#650.00
16,Lifestyles Condoms * 3 (Sensitive),Male Sexual Health,Condoms,https://i.postimg.cc/3Nqny6sc/lifestyle-condom-3-sensitive.jpg,#650.00
